a|a ; a a a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a	a_a	aAa	a_a	a_a	a	a_a_a	a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a	a_a_a	a_a_a	a_a_a_a	a_a_a	a_a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a 	a_ a N
aAa_aAa.a	A:0	a a A a	A:0	a a A a				a a a a A							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a A a	A:0	a a A a				a a a a A							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a A a a	A:0	a A a a				a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a A	A:0	a a A				a a a a A							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a A a	A:0	a a A a				a a a a A							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa.a	A:0	a a a	A:0	a a a	A:0	a a		A a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a					A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a|a a|a a																				N
a	A:0	a	A:0	a	A:0	a a-a a		A a-a, a-a a a a a a a a a a a. Aa a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0|A:0|A:0	a a|a|a a			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	a|a a|a a|Aa 0|Aa 0																				N
a	A:0	a	A:0	a	A:0	a_a		A a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a_a		Aa a a a a a, a a a a a a a a a a, a, a a, a a; a a a a a a a a; a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a-a a	A:0	a-a a	A:0	a		Aa a a a a a a, a a a a a a a a a. Aa a a, a, a, a, a a. Aa a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a		Aa a a/ a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0|A:0|A:0	a|a a|Aa 0|a a|Aa 0																				N
a	A:0	a a	A:0	a a	A:0	a a	a	Aa a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|Aa:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a	A:0	a	A:0	a	A:0	a	a|a	Aa a a a a a a a a Aa a a a. Aa a a a a a a a a a a a a a-a a a a a a a a a a a. Aa a a a a a, a a a, a, a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0	a a|Aa 0|Aa 0|a a|Aa 0|a																				N
a	A:0	a	A:0	a	A:0	a a a		A a, a-a a a a a a a a a a a a a a, a a, a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a a|a|a a													A:0	a a						N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a a	Aa a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a																														N
a	A:0	a a	A:0	a a	A:0 | A:0	a a a | a a	a a|a	A a a a, a a a a a. Aa a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a a	a a|a	Aa a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a.a/a/A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0|A:0	a a|a a 	A|a a a a|a a a|a a|aA|a a a a|a a a|a a a | a a | a-a a	A a a a a, a a a a a a a a a a a a a a a a a a a a a, a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a|a a|a a|a a|a a|a a	A:0	a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a|Aa 0|Aa 0|a a|Aa 0|Aa 0																				N
a	A:0	a	A:0	a	A:0	a		Aa a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a	A:0	a	A:0	a	a a|a|a a|a a	Aa a, a-a a a a a a a a a a a a a a a a a a a (a a a a a) a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a																														N
a	A:0	a a	A:0	a a	A:0	a	a a|a a|a	Aa a a a a a a a a a a a a a a a a a a a a a a a a a a a a; a a a a a, a a a, a a a a a a. Aa: a a a, a a a, a a a[A].	A:0|A:0|A0|A0:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:A0|a://a.a.a/a/Aa:a:a|a://a.a/a/a/a/A0|a://a.a.a/Aa/Aa/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a a a a a a a a. Aa a a a, a a a a a a a a-a a a a a a a. Aa a a a a a a a a a a a a a, a a a a a, a a a, a a a [A].	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a; a a a a a a a 	A:0	a a a	A:0	a a a	A:0	a a	a|a a a|a a|a a a	Aa a a a a a a a a a a[A, a]. Aa a a a Aa a a a a a a a a a a a a a a a[Aa].	A0|Aa:0|A:0|AaAa:Aa0aAaA0aAaAa0a0Aa|A:0|A:0|A:A0|a://a.a.a/a/Aa|a://a.a/a/a/a/A0|a:0|a:a:0					*a* a a a A:0 Aa	Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
aAaAa.a	A:0	a a	A:0	a a				Aa a a a a a a a a a a a a a a a a.			Aa'a Aa a. Aa a aAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a	a a	Aa a a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																											A:0	a		N
a	A:0	a	A:0	a	A:0 |A:0	a a a | a a	a a|a a|a a|a a	Aa a a a a a a. Aa a a a a a, a a, a a. Aa a a a a, a, a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a (a Aa a Aa)	A:0	a a a (a Aa a Aa)	A:0	a a a		Aa a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a a|a a	A a a a a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a a a | a a a																														N
a	A:0	a	A:0	a	A:0	a	a a|a a a|a	A a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:0|A0|A:A-0|Aa:0|A:0|A:0|A:A0|A:Aa:a0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:A0|a:0|a://a.a.a/a/Aa|a://a.a/a/a/a/A0|a://a.a.a/Aa/Aa/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0|A:0	a|a a	a a	Aa a a a, a a a a.	A:0|Aa:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a																														N
a	A:0	a a a a	A:0	a a a a	A:0	a a		Aa a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a	A:0	a-a a	A:0	a		Aa, a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a|a a|a a|a a|a a|a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a-a-a a	A:0	a-a-a a	A:0	a		Aa a a a a a a, a a a a a a a. Aa a, a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0|A:0	a a a|a	aAa	A a a a-0+, a-0+, a-0+, a-0+ a a-0+ a a a a a a a a a (a-0+, a+) a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0	a 		Aa a a a a a a a a a a a a a a a a; a a a a, a a a a 0-0 a (a a a a a).	A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a	a a	Aa a, a.a. a-a, a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a	a a	Aa a, a.a. a-a, a a a a a a; a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a, a a-a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0|A:0	a-a a|a a-a a		A a-a a a a a a a a a a a a. Aa a a, a a a a a a a'a a a a a a, a a a a a A a a a. Aa a a, a a a a a, A a a A a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a. Aa a a a a a a	A:0	a	A:0	a	Aa:0	a a		Aa a a a a a a a a; a a a a a a-a.	A:A0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a a									A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a a	A:0	a a a	A:0	a a	a-a a a	Aa a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a|a a|a a|a a|a a							A:0|A:0|A:0	a a|a|a a																				N
aAa.a	A:0	a a a	A:0	a a a	A:0	a a		a a a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0|A:0	a a a|a a		Aa a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a a|a a	A:0	a a a	A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0|A:0	a a a|a a	a a a|a a a|a a a a|a a a|a a a a	A a-0+, a+ a a a a a a a-a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a a|a a	A:0	a	A:0	a			A:0|A:0	a|a a																				N
a	A:0	a a	A:0	a a	A:0	a a a	a|a|a a a|a a|a a a a a|a a (Aa a Aa)|a a|a a	A a a a a a a a a a a a a	A:0|A:A|A:A|A:a|A:a|A:Aa-A|A0|A:0|A:0|A0:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:A0|Aa:a|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:A0|A:0|A:0|A:0|a:0|a://a.a.a.a/a.a?A=0|a://a.a/a/a/a/A0|a://a.a.a/Aa/Aa/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a	A:0|A:0	a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a	a a|a a a|a a|a a|a a a|a a a	A a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a|a a			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	a|Aa 0|a a|a a|Aa 0																				N
aAaAa.a	A:0	a a a a	A:0	a a a a				Aa a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a a a a a a a a a a. Aa a a a a a (a a a a) a a a a a a a a Aa a a Aa.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a	A:0|A:0|A:0	a a|a|a a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0	a a		Aa 0-0 a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	Aa 0	A:0	Aa 0	A:0|A:0|A:0|A:0	Aa 0|Aa 0|Aa 0|Aa 0																	A:0|A:0	a|Aa a a		N
aAaAaAaAaAa.a	A:0	a-a a a a a	A:0	a-a a a a a				Aa a a a a a a a a a a a a a a a (Aa 0 a a Aa 0). Aa a a a a a a a a; a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a a		Aa a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a_a		Aa a a a a a a. Aa a a, a, a, a, a, a a a a, a a a a a a a a. Aa a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0	a a a	a a a a	Aa a a a a a a a a. Aa a, a a a a a a a a a a-a a.	A:0|A:0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a|a a|a a|a a|a a|a a|a|a a	A:0	a a a a					A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a a a	A:0	a a a a	A:0	a a a	a a a a a a|a a a	a+ a a (a0-, a-) a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a	A:0	a	A:0	a	a a	A a a a a a a a a a a. Aa a a a a, a a a a a, a a a a a a (a) a a a a a a a. Aa a a, a a-0+, a+ a a a, a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
aAaAaAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a	A:0	a	A:0	a a	a a	Aa a a a a a a a, a a a a a a a, a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a a a		Aa a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a a	A:0	a	A:0	a	A:0	Aa a a a		A a a a a a a a, a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0																															N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a	a-a|a|a-a|a a|a	Aa a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a.	Aa a a a a a a a a a a a a a a a. Aa, a a a a a a a a a a a.	Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0	a a|a|a a							A:0 | A:0	a a | a	A:0	a a										N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a a a a a a a a a a a, a a a, a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a			A:0	a	a	A a a a a a a a a, a a a a a a, a a a a a a a a a a a a a a a a. 	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a|a|a a|a a|a a|a a							A:0|A:0|A:0	a a|a|a a																				N
aAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a; a a a a a a a a_a a a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a-a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a	a a a|a a	Aa a a a a a a, a a-a a, a a a a a.	A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a a a a a a a a. Aa a a, a a a a a a a a a a a a a a a a a. Aa a a 0a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a|a|a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a0/0+ a a a	A:0	a0/0+ a a a	A:0|A:0	a a a|a		a-0+, a0/0+ a a a a a a a A+ a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0|A:0|A:0	a|a a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a a	a|a a	A a a, a a a a a, a a a a a a a a'a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a a		A a a a a a a a a a a a a a a a (A) a a a, a a, a, a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0	a	a a	Aa a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a	A:0	a	A:0	a	A:0	a a a	a	Aa a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a a	a	A a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
